language,text_size,pattern_size,case_type,run_number,execution_time_seconds
Python,10000,10,best,1,0.013300209015142173
Python,10000,10,best,2,0.012642582994885743
Python,10000,10,best,3,0.012786791019607335
Python,10000,10,best,4,0.012819499999750406
Python,10000,10,best,5,0.012654707999899983
Python,10000,10,best,6,0.01263404096243903
Python,10000,10,best,7,0.012602083035744727
Python,10000,10,best,8,0.012572167033795267
Python,10000,10,best,9,0.01263800001470372
Python,10000,10,best,10,0.01268079096917063
Python,10000,10,best,11,0.012697958969511092
Python,10000,10,best,12,0.01274141698377207
Python,10000,10,best,13,0.012663125002291054
Python,10000,10,best,14,0.01268470799550414
Python,10000,10,best,15,0.01265820802655071
Python,10000,10,best,16,0.012710415991023183
Python,10000,10,best,17,0.012638416956178844
Python,10000,10,best,18,0.012729750014841557
Python,10000,10,best,19,0.012725875014439225
Python,10000,10,best,20,0.012706790992524475
Python,10000,10,best,21,0.012656499980948865
Python,10000,10,best,22,0.012638082960620522
Python,10000,10,best,23,0.012595999985933304
Python,10000,10,best,24,0.012627791962586343
Python,10000,10,best,25,0.012610458012204617
Python,10000,10,average,1,0.013176375010516495
Python,10000,10,average,2,0.012610625009983778
Python,10000,10,average,3,0.01272791699739173
Python,10000,10,average,4,0.01257987500866875
Python,10000,10,average,5,0.012570833030622452
Python,10000,10,average,6,0.012645750015508384
Python,10000,10,average,7,0.01265441597206518
Python,10000,10,average,8,0.012823208991903812
Python,10000,10,average,9,0.012754374998621643
Python,10000,10,average,10,0.012739375000819564
Python,10000,10,average,11,0.012746374995913357
Python,10000,10,average,12,0.012752874987199903
Python,10000,10,average,13,0.012720291968435049
Python,10000,10,average,14,0.012673958961386234
Python,10000,10,average,15,0.01267629099311307
Python,10000,10,average,16,0.012724708009045571
Python,10000,10,average,17,0.012703582993708551
Python,10000,10,average,18,0.012728790985420346
Python,10000,10,average,19,0.012679583975113928
Python,10000,10,average,20,0.012697750004008412
Python,10000,10,average,21,0.01273837499320507
Python,10000,10,average,22,0.012636958970688283
Python,10000,10,average,23,0.012373125005979091
Python,10000,10,average,24,0.012629374978132546
Python,10000,10,average,25,0.012656083970796317
Python,10000,10,worst,1,0.017939332989044487
Python,10000,10,worst,2,0.01656629203353077
Python,10000,10,worst,3,0.016619125031866133
Python,10000,10,worst,4,0.01655854203272611
Python,10000,10,worst,5,0.016677082981914282
Python,10000,10,worst,6,0.016496875032316893
Python,10000,10,worst,7,0.01671233301749453
Python,10000,10,worst,8,0.017167209007311612
Python,10000,10,worst,9,0.016896083019673824
Python,10000,10,worst,10,0.01730108301853761
Python,10000,10,worst,11,0.01723495899932459
Python,10000,10,worst,12,0.01733599998988211
Python,10000,10,worst,13,0.01711908302968368
Python,10000,10,worst,14,0.016942374990321696
Python,10000,10,worst,15,0.016649291035719216
Python,10000,10,worst,16,0.016509832988958806
Python,10000,10,worst,17,0.016551916021853685
Python,10000,10,worst,18,0.016570166975725442
Python,10000,10,worst,19,0.016702208027709275
Python,10000,10,worst,20,0.016493332979734987
Python,10000,10,worst,21,0.016480541031342
Python,10000,10,worst,22,0.016623791947495192
Python,10000,10,worst,23,0.016603666997980326
Python,10000,10,worst,24,0.016569792001973838
Python,10000,10,worst,25,0.01644012494944036
Python,10000,50,best,1,0.01260999997612089
Python,10000,50,best,2,0.01150904200039804
Python,10000,50,best,3,0.01157741597853601
Python,10000,50,best,4,0.011481958033982664
Python,10000,50,best,5,0.011513000004924834
Python,10000,50,best,6,0.011563708016183227
Python,10000,50,best,7,0.011494208010844886
Python,10000,50,best,8,0.01153387496015057
Python,10000,50,best,9,0.011577332974411547
Python,10000,50,best,10,0.01151104096788913
Python,10000,50,best,11,0.011495582992210984
Python,10000,50,best,12,0.011516749975271523
Python,10000,50,best,13,0.01148754102177918
Python,10000,50,best,14,0.011442249990068376
Python,10000,50,best,15,0.01161595800658688
Python,10000,50,best,16,0.011525125009939075
Python,10000,50,best,17,0.01145462499698624
Python,10000,50,best,18,0.011499457992613316
Python,10000,50,best,19,0.01150116603821516
Python,10000,50,best,20,0.011495792015921324
Python,10000,50,best,21,0.011567790992558002
Python,10000,50,best,22,0.011493541998788714
Python,10000,50,best,23,0.011498333013150841
Python,10000,50,best,24,0.011675250018015504
Python,10000,50,best,25,0.011527915950864553
Python,10000,50,average,1,0.011423999967519194
Python,10000,50,average,2,0.01188041700515896
Python,10000,50,average,3,0.011464125011116266
Python,10000,50,average,4,0.011422834009863436
Python,10000,50,average,5,0.011479166045319289
Python,10000,50,average,6,0.01141854200977832
Python,10000,50,average,7,0.011568749963771552
Python,10000,50,average,8,0.01147720799781382
Python,10000,50,average,9,0.011656666989438236
Python,10000,50,average,10,0.011511916003655642
Python,10000,50,average,11,0.011482707981485873
Python,10000,50,average,12,0.011485833034384996
Python,10000,50,average,13,0.011584291001781821
Python,10000,50,average,14,0.011916084040421993
Python,10000,50,average,15,0.011663875018712133
Python,10000,50,average,16,0.01151350000873208
Python,10000,50,average,17,0.011448082979768515
Python,10000,50,average,18,0.011481249995995313
Python,10000,50,average,19,0.011414500011596829
Python,10000,50,average,20,0.011499209038447589
Python,10000,50,average,21,0.011587249988224357
Python,10000,50,average,22,0.011097207956481725
Python,10000,50,average,23,0.011430999962612987
Python,10000,50,average,24,0.011515791004057974
Python,10000,50,average,25,0.011507916962727904
Python,10000,50,worst,1,0.016083042020909488
Python,10000,50,worst,2,0.015417125017847866
Python,10000,50,worst,3,0.015515959006734192
Python,10000,50,worst,4,0.015333999996073544
Python,10000,50,worst,5,0.015530999982729554
Python,10000,50,worst,6,0.015417916991282254
Python,10000,50,worst,7,0.01542591699399054
Python,10000,50,worst,8,0.015365999948699027
Python,10000,50,worst,9,0.015351208974607289
Python,10000,50,worst,10,0.01545975002227351
Python,10000,50,worst,11,0.015629375004209578
Python,10000,50,worst,12,0.015342125028837472
Python,10000,50,worst,13,0.015530584030784667
Python,10000,50,worst,14,0.015339208010118455
Python,10000,50,worst,15,0.01538512494880706
Python,10000,50,worst,16,0.015378291020169854
Python,10000,50,worst,17,0.015465541975572705
Python,10000,50,worst,18,0.015446500037796795
Python,10000,50,worst,19,0.015388583997264504
Python,10000,50,worst,20,0.015372041030786932
Python,10000,50,worst,21,0.01536295801633969
Python,10000,50,worst,22,0.015386249986477196
Python,10000,50,worst,23,0.015409207961056381
Python,10000,50,worst,24,0.015313707990571856
Python,10000,50,worst,25,0.015338958008214831
Python,10000,200,best,1,0.013358999975025654
Python,10000,200,best,2,0.012801917036995292
Python,10000,200,best,3,0.012710832990705967
Python,10000,200,best,4,0.012612332997377962
Python,10000,200,best,5,0.012720291968435049
Python,10000,200,best,6,0.012757332995533943
Python,10000,200,best,7,0.012759833014570177
Python,10000,200,best,8,0.012659916013944894
Python,10000,200,best,9,0.012725708016660064
Python,10000,200,best,10,0.012730457994621247
Python,10000,200,best,11,0.01273320900509134
Python,10000,200,best,12,0.012694958015345037
Python,10000,200,best,13,0.012759167002514005
Python,10000,200,best,14,0.012694375007413328
Python,10000,200,best,15,0.012714124983176589
Python,10000,200,best,16,0.012728292029350996
Python,10000,200,best,17,0.012669417017605156
Python,10000,200,best,18,0.012709750037174672
Python,10000,200,best,19,0.012890040990896523
Python,10000,200,best,20,0.012696292018517852
Python,10000,200,best,21,0.012714542041067034
Python,10000,200,best,22,0.012717749981675297
Python,10000,200,best,23,0.01274287496926263
Python,10000,200,best,24,0.012676374986767769
Python,10000,200,best,25,0.012663000030443072
Python,10000,200,average,1,0.01338045799639076
Python,10000,200,average,2,0.012677000020630658
Python,10000,200,average,3,0.012622290989384055
Python,10000,200,average,4,0.012713416013866663
Python,10000,200,average,5,0.012751500005833805
Python,10000,200,average,6,0.012692457996308804
Python,10000,200,average,7,0.012648000032640994
Python,10000,200,average,8,0.012782875041011721
Python,10000,200,average,9,0.012715165968984365
Python,10000,200,average,10,0.012711749994195998
Python,10000,200,average,11,0.012793832982424647
Python,10000,200,average,12,0.013106417027302086
Python,10000,200,average,13,0.012683374981861562
Python,10000,200,average,14,0.012760791985783726
Python,10000,200,average,15,0.012675542035140097
Python,10000,200,average,16,0.012658666004426777
Python,10000,200,average,17,0.012728208035696298
Python,10000,200,average,18,0.012665208021644503
Python,10000,200,average,19,0.012644541973713785
Python,10000,200,average,20,0.012431250012014061
Python,10000,200,average,21,0.01278716599335894
Python,10000,200,average,22,0.012785916973371059
Python,10000,200,average,23,0.012693667027633637
Python,10000,200,average,24,0.012707207992207259
Python,10000,200,average,25,0.012976792000699788
Python,10000,200,worst,1,0.016819124983157963
Python,10000,200,worst,2,0.016793709015473723
Python,10000,200,worst,3,0.016772584000136703
Python,10000,200,worst,4,0.016706874943338335
Python,10000,200,worst,5,0.01669666700763628
Python,10000,200,worst,6,0.016673167003318667
Python,10000,200,worst,7,0.016650666017085314
Python,10000,200,worst,8,0.01683758298167959
Python,10000,200,worst,9,0.016739375016186386
Python,10000,200,worst,10,0.016525875020306557
Python,10000,200,worst,11,0.016617874964140356
Python,10000,200,worst,12,0.016576541995164007
Python,10000,200,worst,13,0.016758208046667278
Python,10000,200,worst,14,0.016909166995901614
Python,10000,200,worst,15,0.016704290988855064
Python,10000,200,worst,16,0.016797374992165715
Python,10000,200,worst,17,0.016727957990951836
Python,10000,200,worst,18,0.016764041036367416
Python,10000,200,worst,19,0.016703083005268127
Python,10000,200,worst,20,0.01668170897755772
Python,10000,200,worst,21,0.016709041025023907
Python,10000,200,worst,22,0.016635791049338877
Python,10000,200,worst,23,0.016737999976612628
Python,10000,200,worst,24,0.016806375002488494
Python,10000,200,worst,25,0.01688479201402515
Python,100000,10,best,1,0.12680683302460238
Python,100000,10,best,2,0.13071062503149733
Python,100000,10,best,3,0.12736545799998567
Python,100000,10,best,4,0.12643579201539978
Python,100000,10,best,5,0.1271246669930406
Python,100000,10,best,6,0.12701479200040922
Python,100000,10,best,7,0.12690041703172028
Python,100000,10,best,8,0.12744670803658664
Python,100000,10,best,9,0.1274180409964174
Python,100000,10,best,10,0.1273342919885181
Python,100000,10,best,11,0.1273180839489214
Python,100000,10,best,12,0.12657829199451953
Python,100000,10,best,13,0.12721020902972668
Python,100000,10,best,14,0.1272367499768734
Python,100000,10,best,15,0.12740449997363612
Python,100000,10,best,16,0.12791437498526648
Python,100000,10,best,17,0.12743175000650808
Python,100000,10,best,18,0.12789000000339001
Python,100000,10,best,19,0.12773054098943248
Python,100000,10,best,20,0.12746937497286126
Python,100000,10,best,21,0.12957337498664856
Python,100000,10,best,22,0.12739166704704985
Python,100000,10,best,23,0.1283053329680115
Python,100000,10,best,24,0.1258744160295464
Python,100000,10,best,25,0.12654237495735288
Python,100000,10,average,1,0.12754370900802314
Python,100000,10,average,2,0.12782520800828934
Python,100000,10,average,3,0.1258387080160901
Python,100000,10,average,4,0.1263408749946393
Python,100000,10,average,5,0.1285278750001453
Python,100000,10,average,6,0.12693012499948964
Python,100000,10,average,7,0.1262397079844959
Python,100000,10,average,8,0.1273500410025008
Python,100000,10,average,9,0.12714795803185552
Python,100000,10,average,10,0.12852391600608826
Python,100000,10,average,11,0.12710916600190103
Python,100000,10,average,12,0.2544947079732083
Python,100000,10,average,13,0.12501174997305498
Python,100000,10,average,14,0.1296823340235278
Python,100000,10,average,15,0.1273410830181092
Python,100000,10,average,16,0.12693349999608472
Python,100000,10,average,17,0.12582558300346136
Python,100000,10,average,18,0.12679612502688542
Python,100000,10,average,19,0.12663733400404453
Python,100000,10,average,20,0.12735366699052975
Python,100000,10,average,21,0.13263420795556158
Python,100000,10,average,22,0.13209387502865866
Python,100000,10,average,23,0.1334264999604784
Python,100000,10,average,24,0.1348418749985285
Python,100000,10,average,25,0.13300712499767542
Python,100000,10,worst,1,0.1819297080510296
Python,100000,10,worst,2,0.17583208298310637
Python,100000,10,worst,3,0.17821925005409867
Python,100000,10,worst,4,0.17768016702029854
Python,100000,10,worst,5,0.179685499984771
Python,100000,10,worst,6,0.1820297499652952
Python,100000,10,worst,7,0.1772326249629259
Python,100000,10,worst,8,0.17790200002491474
Python,100000,10,worst,9,0.17539945797761902
Python,100000,10,worst,10,0.17068550002295524
Python,100000,10,worst,11,0.1681807090062648
Python,100000,10,worst,12,0.17373845796100795
Python,100000,10,worst,13,0.16949129104614258
Python,100000,10,worst,14,0.16864841699134558
Python,100000,10,worst,15,0.31454875000054017
Python,100000,10,worst,16,0.19549100002041087
Python,100000,10,worst,17,0.17039124999428168
Python,100000,10,worst,18,0.17320383299374953
Python,100000,10,worst,19,0.1717851249850355
Python,100000,10,worst,20,0.16887241700896993
Python,100000,10,worst,21,0.1723457089974545
Python,100000,10,worst,22,0.16521475004265085
Python,100000,10,worst,23,0.4175345830153674
Python,100000,10,worst,24,0.17155679099960253
Python,100000,10,worst,25,0.1718229999532923
Python,100000,50,best,1,0.11555937497178093
Python,100000,50,best,2,0.11532116599846631
Python,100000,50,best,3,0.11547329201130196
Python,100000,50,best,4,0.11305187497055158
Python,100000,50,best,5,0.11575070902472362
Python,100000,50,best,6,0.1141504580155015
Python,100000,50,best,7,0.11508499999763444
Python,100000,50,best,8,0.1163554170052521
Python,100000,50,best,9,0.11606420896714553
Python,100000,50,best,10,0.12055408395826817
Python,100000,50,best,11,0.11201345798326656
Python,100000,50,best,12,0.11544195801252499
Python,100000,50,best,13,0.11550241702934727
Python,100000,50,best,14,0.11618966702371836
Python,100000,50,best,15,0.11568429198814556
Python,100000,50,best,16,0.11534108297200873
Python,100000,50,best,17,0.1162984169786796
Python,100000,50,best,18,0.11621908296365291
Python,100000,50,best,19,0.11509629199281335
Python,100000,50,best,20,0.11575308401370421
Python,100000,50,best,21,0.11610058404039592
Python,100000,50,best,22,0.11675441701663658
Python,100000,50,best,23,0.11540995800169185
Python,100000,50,best,24,0.118228540988639
Python,100000,50,best,25,0.11794079095125198
Python,100000,50,average,1,0.11569733399664983
Python,100000,50,average,2,0.11517066601663828
Python,100000,50,average,3,0.11550358298700303
Python,100000,50,average,4,0.11645320896059275
Python,100000,50,average,5,0.11578549997648224
Python,100000,50,average,6,0.11666595900896937
Python,100000,50,average,7,0.1146652500028722
Python,100000,50,average,8,0.11313175002578646
Python,100000,50,average,9,0.11876549996668473
Python,100000,50,average,10,0.11588187504094094
